file;Experimenter;from;to;type;ID;DLCFile
EPM_11_Jin.json;Jin;0;1;Start_End;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;2.023;2.648;Head Dip;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;2.711;3.627;Unprotected Stretch;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;3.627;5.294;Head Dip;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;7.252;8.294;Head Dip;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;8.294;8.981;Grooming;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;12.502;14.231;Head Dip;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;17.981;18.836;Head Dip;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;20.336;21.523;Head Dip;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;21.794;22.69;Head Dip;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;25.981;26.711;Head Dip;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;28.106;29.273;Unprotected Stretch;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;34.356;35.44;Protected Stretch;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;40.086;41.106;Protected Stretch;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
EPM_11_Jin.json;Jin;44.377;45.336;Protected Stretch;EPM_11;EPM_11DeepCut_resnet50_epmMay17shuffle1_1030000.csv
