"file";"Experimenter";"from";"to";"type";"ID";"DLCFile"
"OFT_11_Jin.csv";"Jin";2.627;3.762;"Start/End";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";4.836;6.586;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";11.231;13.273;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";15.106;16.648;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";18.961;20.773;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";24.731;25.731;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";27.981;29.086;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";35.002;36.711;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";39.398;40.752;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";42.502;43.627;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";60.794;62.252;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";69.69;71.211;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";76.836;80.336;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";94.044;95.377;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";98.877;100.211;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin.csv";"Jin";103.544;105.065;"Supported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin2.json";"Jin";106.586;107.794;"Unsupported";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
"OFT_11_Jin2.json";"Jin";107.721;108.721;"_DEFAULT";"OFT_11";"3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv"
